obs_id;lat_wgs84;lon_wgs84;obs_date;obs_time;obs_time_zone;site_id;site_name;site_country;upstream_basin_area;upstream_basin_area_unit;drainage_region_name;param_code;source_param_code;param_name;source_param_name;obs_value;source_obs_value;detection_limit_flag;param_form;source_param_form;unit;source_unit;filtration;source;obs_percentile;obs_iqr_outlier;site_ts_availability;site_ts_continuity;WATERBASE_meta_procedureAnalysedMatrix;WATERBASE_meta_Remarks
5c32f3d9709634c9bf72c13abdcb809660ea3f8669aaf3508a0d70ed45ba21ec;60.88602;28.3866;2021-01-12;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.26;2.26;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.5685543964232489;no;0.31;0.12;W;
a7f8da150bca356eb34c1360ba2786e17851ea5627f0b240249d533512920c56;60.88602;28.3866;2021-02-02;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.31;0.12;W;
364ada57d0ea0699ae4813d866793ddbdb49a9ee6fe091d460b654447572ad67;60.88602;28.3866;2021-03-03;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.8;3.8;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.8884128166915052;no;0.31;0.12;W;
d285b94300ccdcfcab461a5a9f0000e7a9ae6fad342a17de5dff20c9771b39a5;60.88602;28.3866;2021-03-22;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.55;2.55;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.668591654247392;no;0.31;0.12;W;
7f91673bb735d4c212d523bb1a6bfb6c8bd02c2130d24480c1f0cbfe27e091a4;60.88602;28.3866;2021-04-06;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.1;2.1;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.5113636363636364;no;0.31;0.12;W;
10e0f0d273736dd94686a1c8af32e8890f9b7671759449e9e0e3558c0769d870;60.88602;28.3866;2021-05-05;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.5;3.5;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.858668653750621;no;0.31;0.12;W;
2d96a3e007691ec6364c284a00213d9bfb6b96251b5eafc5f54f2d9b21e26a01;60.88602;28.3866;2021-05-06;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.6;2.6;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.6825633383010432;no;0.31;0.12;W;
d8e607c3ae05e9fcf489175e94965d9ad52a62e0f9acc2850c5fbb59f9a02dd1;60.88602;28.3866;2021-06-01;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;4.1;4.1;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.9105191256830601;no;0.31;0.12;W;
6f045172bf953c39f60412c26b0d63d1eb72d3d262601076475ece9b7b64ec5f;60.88602;28.3866;2021-07-06;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.67;2.67;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.6964729259811226;no;0.31;0.12;W;
d5205f348a22f987ae4144f0770544486a08a246d804de65993b1892a02ae435;60.88602;28.3866;2021-08-09;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.55;2.55;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.668591654247392;no;0.31;0.12;W;
3399d9684e4baab59e1e45faace6e0a1a1e696bfc8038930d2fd57b6f0f55f79;60.88602;28.3866;2021-09-07;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.7;3.7;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.8792225534028812;no;0.31;0.12;W;
276bac4ef6fb5e72152a50de76a85223388f0c3b6a1d0f866a4247466b2d3896;60.88602;28.3866;2021-10-05;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.6;3.6;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.8695976154992549;no;0.31;0.12;W;
a0491e1b2787675ec408591e9d640b4a89c28353a687b6c811292f489d334ebc;60.88602;28.3866;2021-10-21;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.4;3.4;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.8456905116741182;no;0.31;0.12;W;
429dad59ef31caa021e8ce9198ec808daf4ca6cceb47225aa42f5edfc3307c4f;60.88602;28.3866;2021-11-02;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.9;2.9;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7562717337307501;no;0.31;0.12;W;
d7782702c74edb268120d61ec1fbcb914e19d80e18a0efba3f6227e93b1cc760;60.88602;28.3866;2021-11-03;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.2;3.2;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.8149528067560854;no;0.31;0.12;W;
197b16a9302d93848b9b48046befc26e20cb231865c751a0e4e2cf87bbf1f6fb;60.88602;28.3866;2021-12-07;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;2.8;2.8;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7329234972677595;no;0.31;0.12;W;
e2a2ffe2e0ff7914a6814395e9381f3985d7bf1ad2813d98d94e465508425519;60.88602;28.3866;2013-07-29;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.31;0.12;W;
1f8ca2d67007388395be7d140558d7bd915d8550f6d17dafda67175257355a3b;60.88602;28.3866;2013-09-02;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.31;0.12;W;
6476e78a523e386865cb4d8de1f0897ff35f8bc5703b9d5bd62bd29f6c9a7973;60.88602;28.3866;2017-11-14;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.31;0.12;W;
08d37596e1d095950b95da4fd28d5a5ef8782016c14517cb769dc6322bf99a70;60.88602;28.3866;2016-11-08;00:00:00;;FISW_745;RAKKOLANJOKI ALAOSA S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;3.0;3.0;<;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.7771361152508693;no;0.31;0.12;W;
